"gene","pathway"
"ATG16L1","DOID.10608"
"KIR2DL5B","DOID.10608"
"PPP6C","DOID.10608"
"BAK1","DOID.10608"
"IL21","DOID.10608"
"BCL2","DOID.10608"
"S100B","DOID.10608"
"SELE","DOID.10608"
"SOD1","DOID.10608"
"STAT1","DOID.10608"
"TFRC","DOID.10608"
"TGFB1","DOID.10608"
"TGFB3","DOID.10608"
"TGM1","DOID.10608"
"TGM2","DOID.10608"
"TLR4","DOID.10608"
"TNF","DOID.10608"
"VDR","DOID.10608"
"MADCAM1","DOID.10608"
"IL18RAP","DOID.10608"
"CLDN2","DOID.10608"
"CD3G","DOID.10608"
"CD14","DOID.10608"
"CD28","DOID.10608"
"CD44","DOID.10608"
"CD59","DOID.10608"
"ADA","DOID.1074"
"ATP6AP2","DOID.1074"
"MSLN","DOID.1074"
"CDKN1A","DOID.1074"
"HYOU1","DOID.1074"
"UTS2","DOID.1074"
"ADAMTS13","DOID.1074"
"SLC22A12","DOID.1074"
"ADD1","DOID.1074"
"COL4A3","DOID.1074"
"COL4A4","DOID.1074"
"COL4A5","DOID.1074"
"ADORA2A","DOID.1074"
"CPT2","DOID.1074"
"CRP","DOID.1074"
"CST3","DOID.1074"
"CLDN19","DOID.1074"
"ACE","DOID.1074"
"AGTR1","DOID.1074"
"EPO","DOID.1074"
"F3","DOID.1074"
"ALDH2","DOID.1074"
"FN1","DOID.1074"
"AMBP","DOID.1074"
"INVS","DOID.1074"
"TINAG","DOID.1074"
"GUCA2B","DOID.1074"
"CFH","DOID.1074"
"HPRT1","DOID.1074"
"HSPA1A","DOID.1074"
"ICAM1","DOID.1074"
"APOE","DOID.1074"
"SLCO4C1","DOID.1074"
"IL10","DOID.1074"
"LCN2","DOID.1074"
"LEP","DOID.1074"
"MCAM","DOID.1074"
"MMP1","DOID.1074"
"MPO","DOID.1074"
"MTHFR","DOID.1074"
"MYC","DOID.1074"
"NOS3","DOID.1074"
"NPHP1","DOID.1074"
"NPPB","DOID.1074"
"TNFRSF11B","DOID.1074"
"PAX2","DOID.1074"
"ENPP1","DOID.1074"
"GHRL","DOID.1074"
"ABCB1","DOID.1074"
"PON1","DOID.1074"
"PPARA","DOID.1074"
"CRLS1","DOID.1074"
"SLC2A9","DOID.1074"
"B2M","DOID.1074"
"PTEN","DOID.1074"
"PTGDS","DOID.1074"
"HAMP","DOID.1074"
"PTX3","DOID.1074"
"REN","DOID.1074"
"BDKRB2","DOID.1074"
"S100A8","DOID.1074"
"S100A9","DOID.1074"
"SARS","DOID.1074"
"ATXN7","DOID.1074"
"CCL2","DOID.1074"
"CCL15","DOID.1074"
"SELE","DOID.1074"
"SLC4A1","DOID.1074"
"SLC12A1","DOID.1074"
"SPP1","DOID.1074"
"SREBF1","DOID.1074"
"SREBF2","DOID.1074"
"HNF1B","DOID.1074"
"TFPI","DOID.1074"
"TFRC","DOID.1074"
"TGFB1","DOID.1074"
"THPO","DOID.1074"
"TNFRSF1A","DOID.1074"
"TNFRSF1B","DOID.1074"
"C3","DOID.1074"
"TRPC6","DOID.1074"
"VEGFA","DOID.1074"
"FGF23","DOID.1074"
"CFHR5","DOID.1074"
"CASR","DOID.1074"
"ITGA8","DOID.1074"
"CD163","DOID.1074"
"SLC22A6","DOID.1074"
"KL","DOID.1074"
"ADIPOQ","DOID.1074"
"CD40","DOID.1074"
"CD40LG","DOID.1074"
"IQCB1","DOID.1074"
"ADA","DOID.11077"
"MICA","DOID.11077"
"SIVA1","DOID.11077"
"CCR5","DOID.11077"
"CRP","DOID.11077"
"CSF2","DOID.11077"
"ACE","DOID.11077"
"FCGR2A","DOID.11077"
"PTPN22","DOID.11077"
"PYCARD","DOID.11077"
"IFNG","DOID.11077"
"IL1B","DOID.11077"
"IL1RN","DOID.11077"
"IL4","DOID.11077"
"IL6","DOID.11077"
"IL10","DOID.11077"
"ABCC6","DOID.11077"
"LEP","DOID.11077"
"LMX1B","DOID.11077"
"MEFV","DOID.11077"
"TNFRSF11B","DOID.11077"
"SERPINE1","DOID.11077"
"GHRL","DOID.11077"
"ABCB1","DOID.11077"
"PSMB8","DOID.11077"
"PSMB9","DOID.11077"
"SAA1","DOID.11077"
"CCL3","DOID.11077"
"SELL","DOID.11077"
"SLC11A1","DOID.11077"
"TAP1","DOID.11077"
"TAP2","DOID.11077"
"TGFB1","DOID.11077"
"THBD","DOID.11077"
"TLR4","DOID.11077"
"TNF","DOID.11077"
"TNFRSF1A","DOID.11077"
"C5AR1","DOID.11077"
"VEGFA","DOID.11077"
"CD14","DOID.11077"
"ADA","DOID.11714"
"MICA","DOID.11714"
"NAMPT","DOID.11714"
"FSTL3","DOID.11714"
"CEBPA","DOID.11714"
"CPB2","DOID.11714"
"CRP","DOID.11714"
"SERPINA12","DOID.11714"
"ADRB3","DOID.11714"
"DDIT3","DOID.11714"
"AGER","DOID.11714"
"APLNR","DOID.11714"
"SLC29A1","DOID.11714"
"FLT1","DOID.11714"
"UTS2B","DOID.11714"
"FGF21","DOID.11714"
"GCK","DOID.11714"
"GIP","DOID.11714"
"HFE","DOID.11714"
"HLA-DQB1","DOID.11714"
"HP","DOID.11714"
"HTR2A","DOID.11714"
"IAPP","DOID.11714"
"APOD","DOID.11714"
"IGF1","DOID.11714"
"IGFBP1","DOID.11714"
"IGFBP3","DOID.11714"
"IL1B","DOID.11714"
"IL6","DOID.11714"
"INS","DOID.11714"
"PDX1","DOID.11714"
"KCNJ11","DOID.11714"
"KCNQ1","DOID.11714"
"LEP","DOID.11714"
"LIPE","DOID.11714"
"LMNA","DOID.11714"
"MBL2","DOID.11714"
NA,"DOID.11714"
"NFKB1","DOID.11714"
"TNFRSF11B","DOID.11714"
"PAX3","DOID.11714"
"GHRL","DOID.11714"
"ACP1","DOID.11714"
"SERPINA1","DOID.11714"
"PPARA","DOID.11714"
"PPARG","DOID.11714"
"RETN","DOID.11714"
"RBP4","DOID.11714"
"SAA1","DOID.11714"
"CCL2","DOID.11714"
"SHBG","DOID.11714"
"SLC2A1","DOID.11714"
"SLC2A4","DOID.11714"
"ABCC8","DOID.11714"
"HNF1A","DOID.11714"
"TCF7L2","DOID.11714"
"TGFB1","DOID.11714"
"TNF","DOID.11714"
"APLN","DOID.11714"
"ADIPOQ","DOID.11714"
"ADA","DOID.1184"
"PSMD14","DOID.1184"
"CETP","DOID.1184"
"HPSE","DOID.1184"
"CLU","DOID.1184"
"ACE","DOID.1184"
"AGT","DOID.1184"
"AGTR1","DOID.1184"
"ABCA1","DOID.1184"
"EXT1","DOID.1184"
"F3","DOID.1184"
"F5","DOID.1184"
"DDN","DOID.1184"
"CD2AP","DOID.1184"
"GATA3","DOID.1184"
"NR3C1","DOID.1184"
"GSTM1","DOID.1184"
"GSTP1","DOID.1184"
"GSTT1","DOID.1184"
"GUCA2B","DOID.1184"
"HPX","DOID.1184"
"APOA1","DOID.1184"
"APOA4","DOID.1184"
"APOB","DOID.1184"
"APOE","DOID.1184"
"IL1B","DOID.1184"
"IL1R1","DOID.1184"
"IL4","DOID.1184"
"CXCL8","DOID.1184"
"IL12B","DOID.1184"
"IL18","DOID.1184"
"LAMB2","DOID.1184"
"LEP","DOID.1184"
"LEPR","DOID.1184"
"MAF","DOID.1184"
"NPHS1","DOID.1184"
"NPPC","DOID.1184"
"SMARCAL1","DOID.1184"
"COQ6","DOID.1184"
"PLCE1","DOID.1184"
"KIRREL1","DOID.1184"
"PSMB8","DOID.1184"
"RELA","DOID.1184"
"BRAF","DOID.1184"
"TFPI","DOID.1184"
"TGFB1","DOID.1184"
"VEGFA","DOID.1184"
"WT1","DOID.1184"
"NPHS2","DOID.1184"
"CMIP","DOID.1184"
"ACTN4","DOID.1184"
"HIST1H3E","DOID.1184"
"IL1RL1","DOID.1184"
"CD247","DOID.1184"
"MUC16","DOID.1184"
"ADA","DOID.12849"
"AUTS1","DOID.12849"
"CDH8","DOID.12849"
"BAIAP2","DOID.12849"
"CHRNA4","DOID.12849"
"CHRNA7","DOID.12849"
"CHRNB2","DOID.12849"
"AGAP1","DOID.12849"
"TPH2","DOID.12849"
"CNTNAP5","DOID.12849"
"COMT","DOID.12849"
"PTCHD1","DOID.12849"
"MACROD2","DOID.12849"
"CTNNB1","DOID.12849"
"CTSD","DOID.12849"
"CNTN4","DOID.12849"
"ADRB2","DOID.12849"
"ADSL","DOID.12849"
"DAO","DOID.12849"
"DNAAF4","DOID.12849"
"DDC","DOID.12849"
"ARX","DOID.12849"
"HTR3C","DOID.12849"
"DHFR","DOID.12849"
"DLX1","DOID.12849"
"DLX2","DOID.12849"
"DLX6","DOID.12849"
"DMPK","DOID.12849"
"ABAT","DOID.12849"
"DRD1","DOID.12849"
"DRD3","DOID.12849"
"DRD4","DOID.12849"
"SCAMP5","DOID.12849"
"EGF","DOID.12849"
"EGR2","DOID.12849"
"ZNF778","DOID.12849"
"EN2","DOID.12849"
"AKT1","DOID.12849"
"EXT1","DOID.12849"
"HEPACAM","DOID.12849"
"REEP3","DOID.12849"
"JMJD1C","DOID.12849"
"NLGN4Y","DOID.12849"
"NLGN1","DOID.12849"
"PHF8","DOID.12849"
"FLT1","DOID.12849"
"FMR1","DOID.12849"
"GRIP1","DOID.12849"
"CADM1","DOID.12849"
"GABBR1","DOID.12849"
"GABRA1","DOID.12849"
"GABRA2","DOID.12849"
"GABRA3","DOID.12849"
"GABRA4","DOID.12849"
"GABRA5","DOID.12849"
"GABRB1","DOID.12849"
"GABRB3","DOID.12849"
"GAD1","DOID.12849"
"CNTNAP2","DOID.12849"
"AUTS2","DOID.12849"
"SEZ6L2","DOID.12849"
"DAOA","DOID.12849"
"COPG2","DOID.12849"
"NBEA","DOID.12849"
"GJA1","DOID.12849"
"DISC1","DOID.12849"
"STK39","DOID.12849"
"GLO1","DOID.12849"
"GPX1","DOID.12849"
"GRIA2","DOID.12849"
"GRIK2","DOID.12849"
"GRIN2A","DOID.12849"
"ANKRD11","DOID.12849"
"GRM8","DOID.12849"
"GSTM1","DOID.12849"
"HGF","DOID.12849"
"HLA-A","DOID.12849"
"HLA-DRB1","DOID.12849"
"HMGB1","DOID.12849"
"HOXA1","DOID.12849"
"HOXB1","DOID.12849"
"HOXD11","DOID.12849"
"HOXD12","DOID.12849"
"HOXD13","DOID.12849"
"APC","DOID.12849"
"HTR1B","DOID.12849"
"HTR2A","DOID.12849"
"HTR2C","DOID.12849"
"APOE","DOID.12849"
"AQP4","DOID.12849"
"AR","DOID.12849"
"ITGA4","DOID.12849"
"ITGB3","DOID.12849"
"KDR","DOID.12849"
"CHDS3","DOID.12849"
"LEP","DOID.12849"
"STS","DOID.12849"
"MAOA","DOID.12849"
"MARK1","DOID.12849"
"MBD1","DOID.12849"
"MECP2","DOID.12849"
"MEF2C","DOID.12849"
"MEST","DOID.12849"
"MET","DOID.12849"
"MIF","DOID.12849"
"MOG","DOID.12849"
"ASMT","DOID.12849"
"MTHFR","DOID.12849"
"MTNR1A","DOID.12849"
"MTNR1B","DOID.12849"
"NDUFA5","DOID.12849"
"ATP1A1","DOID.12849"
"NOS2","DOID.12849"
"NPTX2","DOID.12849"
"NRCAM","DOID.12849"
"NTRK2","DOID.12849"
"NTS","DOID.12849"
"OXT","DOID.12849"
"OXTR","DOID.12849"
"PECAM1","DOID.12849"
"PER1","DOID.12849"
"PITX1","DOID.12849"
"NLGN3","DOID.12849"
"PON1","DOID.12849"
"ROBO4","DOID.12849"
"RBFOX1","DOID.12849"
"AHI1","DOID.12849"
"FAM120C","DOID.12849"
"AVPR1A","DOID.12849"
"PRKCB","DOID.12849"
"RELN","DOID.12849"
"ATP10A","DOID.12849"
"PTEN","DOID.12849"
"PTGS2","DOID.12849"
"NLGN4X","DOID.12849"
"PCDH19","DOID.12849"
"RAB3A","DOID.12849"
"BCL2","DOID.12849"
"RPL10","DOID.12849"
"RYR3","DOID.12849"
"BDNF","DOID.12849"
"SCN1A","DOID.12849"
"SCN2A","DOID.12849"
"SCN3A","DOID.12849"
"SCT","DOID.12849"
"ROBO3","DOID.12849"
"NSD1","DOID.12849"
"SLC1A1","DOID.12849"
"WNK3","DOID.12849"
"SLC6A4","DOID.12849"
"SLC19A1","DOID.12849"
"SSTR5","DOID.12849"
"TAC1","DOID.12849"
"TDO2","DOID.12849"
"TGFB1","DOID.12849"
"TSPAN7","DOID.12849"
"TP53","DOID.12849"
"TPH1","DOID.12849"
"C4B","DOID.12849"
"TSC1","DOID.12849"
"TSC2","DOID.12849"
"UBE2H","DOID.12849"
"UBE3A","DOID.12849"
"VEGFA","DOID.12849"
"WNT2","DOID.12849"
"MLPH","DOID.12849"
"CALB1","DOID.12849"
"MCPH1","DOID.12849"
"SEM1","DOID.12849"
"EFHC2","DOID.12849"
"CASP3","DOID.12849"
"IMMP2L","DOID.12849"
"SHANK3","DOID.12849"
"SLC25A12","DOID.12849"
"NRP2","DOID.12849"
"CACNA1H","DOID.12849"
"CACNA1G","DOID.12849"
"SEMA5A","DOID.12849"
"TBL1Y","DOID.12849"
"EIF1AY","DOID.12849"
"CADPS2","DOID.12849"
"ADIPOQ","DOID.12849"
"NRXN1","DOID.12849"
"FOXP2","DOID.12849"
"AUTS5","DOID.12849"
"CD38","DOID.12849"
"GABBR2","DOID.12849"
"NOS1AP","DOID.12849"
"DOCK4","DOID.12849"
"MED12","DOID.12849"
"ADA","DOID.13641"
"CLU","DOID.13641"
"ELN","DOID.13641"
"EPO","DOID.13641"
"APOE","DOID.13641"
"LOXL1","DOID.13641"
"MMP1","DOID.13641"
"MMP3","DOID.13641"
"MTHFR","DOID.13641"
"PON1","DOID.13641"
"SOD2","DOID.13641"
"TNF","DOID.13641"
"XDH","DOID.13641"
"ADA","DOID.225"
"NR2E3","DOID.225"
"SPG38","DOID.225"
"KLLN","DOID.225"
"RLS4","DOID.225"
"GNE","DOID.225"
"CDH5","DOID.225"
"MICA","DOID.225"
"NR1H3","DOID.225"
"USH1C","DOID.225"
"PQBP1","DOID.225"
"ACTR3","DOID.225"
"ACTR2","DOID.225"
"RAD50","DOID.225"
"FEM1B","DOID.225"
"LRPPRC","DOID.225"
"NAMPT","DOID.225"
"AKAP9","DOID.225"
"LPAR6","DOID.225"
"SLC25A13","DOID.225"
"SLC25A15","DOID.225"
"PSMD14","DOID.225"
"RCAN2","DOID.225"
"SPRY2","DOID.225"
"ABCC4","DOID.225"
"CDKN1A","DOID.225"
"CDKN1B","DOID.225"
"FSTL3","DOID.225"
"STUB1","DOID.225"
"CDKN1C","DOID.225"
"CDKN2A","DOID.225"
"CDKN2B","DOID.225"
"CRISP3","DOID.225"
"CLEC4M","DOID.225"
"CDO1","DOID.225"
"RACK1","DOID.225"
"BASP1","DOID.225"
"CDSN","DOID.225"
"EMG1","DOID.225"
"C1D","DOID.225"
"CDX2","DOID.225"
"GPNMB","DOID.225"
"FST","DOID.225"
"SLC9A6","DOID.225"
"CEBPA","DOID.225"
"RNASEH2A","DOID.225"
"PROCR","DOID.225"
"AGPAT2","DOID.225"
"CEL","DOID.225"
"SLC19A2","DOID.225"
"CXCL13","DOID.225"
"DPYSL4","DOID.225"
"GNLY","DOID.225"
"SORBS1","DOID.225"
"POMT1","DOID.225"
"IGF2BP1","DOID.225"
"IGF2BP3","DOID.225"
"CD226","DOID.225"
"TNFSF13B","DOID.225"
"CETP","DOID.225"
"RAI1","DOID.225"
"MASP2","DOID.225"
"CTSC","DOID.225"
"GRAP","DOID.225"
"ARPP19","DOID.225"
"CFTR","DOID.225"
"SEPT9","DOID.225"
"GJB6","DOID.225"
"CGB3","DOID.225"
"HPSE","DOID.225"
"LILRB1","DOID.225"
"NMU","DOID.225"
"CFHR4","DOID.225"
"CFHR3","DOID.225"
"PPARGC1A","DOID.225"
"MALT1","DOID.225"
"UTS2","DOID.225"
"PRDX3","DOID.225"
"CKAP4","DOID.225"
"YWHAQ","DOID.225"
"FERMT2","DOID.225"
"KCNQ1OT1","DOID.225"
"IMMT","DOID.225"
"SLC27A5","DOID.225"
"SLC27A4","DOID.225"
"SPINK5","DOID.225"
"LILRA3","DOID.225"
"MID2","DOID.225"
"WWP1","DOID.225"
"ADAMTS13","DOID.225"
"CHEK1","DOID.225"
"CHGA","DOID.225"
"CAPN10","DOID.225"
"IL1RAPL1","DOID.225"
"CHI3L1","DOID.225"
"SEC23IP","DOID.225"
"CHEK2","DOID.225"
"CHN1","DOID.225"
"HRH3","DOID.225"
"IL17F","DOID.225"
"TREX1","DOID.225"
"CHRM1","DOID.225"
"B4GALT7","DOID.225"
"LYST","DOID.225"
"CHRM3","DOID.225"
"CHST14","DOID.225"
"SLC52A3","DOID.225"
"PHB2","DOID.225"
"CHRNA1","DOID.225"
"CHRNA3","DOID.225"
"CHRNA4","DOID.225"
"CHRNA7","DOID.225"
"BUD23","DOID.225"
"CHRNB2","DOID.225"
"CHRNE","DOID.225"
"NLRP3","DOID.225"
"CHRNG","DOID.225"
"CHUK","DOID.225"
"BTBD9","DOID.225"
"CSMD3","DOID.225"
"TUBGCP5","DOID.225"
"SLITRK1","DOID.225"
"CIDEA","DOID.225"
"FCRL3","DOID.225"
"ADCYAP1","DOID.225"
"ERCC8","DOID.225"
"APOA5","DOID.225"
"AP1S1","DOID.225"
"ADD1","DOID.225"
"CLCN5","DOID.225"
"CLCNKA","DOID.225"
"CLCNKB","DOID.225"
"CLU","DOID.225"
"CYP2R1","DOID.225"
"TPH2","DOID.225"
"TTC8","DOID.225"
"SLC25A29","DOID.225"
"CCR5","DOID.225"
"CCR7","DOID.225"
"NIPA1","DOID.225"
"ABCC2","DOID.225"
"USH1G","DOID.225"
"ADH1B","DOID.225"
"MIEF2","DOID.225"
"CNR1","DOID.225"
"CNR2","DOID.225"
"COL1A1","DOID.225"
"COL1A2","DOID.225"
"UHMK1","DOID.225"
"COL2A1","DOID.225"
"COL3A1","DOID.225"
"COL4A1","DOID.225"
"COL4A2","DOID.225"
"COL4A3","DOID.225"
"COL4A4","DOID.225"
"PROKR2","DOID.225"
"COL4A5","DOID.225"
"COL4A6","DOID.225"
"COL5A1","DOID.225"
"COL5A2","DOID.225"
"COL6A2","DOID.225"
"COL9A1","DOID.225"
"FBLN7","DOID.225"
"BBS5","DOID.225"
"COL11A1","DOID.225"
"COL11A2","DOID.225"
"COL17A1","DOID.225"
"DNAJC19","DOID.225"
"COMT","DOID.225"
"EVC2","DOID.225"
"ADM","DOID.225"
"COX15","DOID.225"
"TRIM50","DOID.225"
"CPB2","DOID.225"
"CPT2","DOID.225"
"HGSNAT","DOID.225"
"CREB1","DOID.225"
"CREBBP","DOID.225"
"CRH","DOID.225"
"CRMP1","DOID.225"
"CRP","DOID.225"
"MACROD2","DOID.225"
"PARP1","DOID.225"
"MAPK14","DOID.225"
"CSF2RA","DOID.225"
"CSF3","DOID.225"
"CSF3R","DOID.225"
"PRICKLE1","DOID.225"
"CSH1","DOID.225"
"A2ML1","DOID.225"
"B3GLCT","DOID.225"
"SERPINA12","DOID.225"
"CSNK1D","DOID.225"
"CSNK1E","DOID.225"
"MESP2","DOID.225"
"CST3","DOID.225"
"DSG4","DOID.225"
"SIX5","DOID.225"
"ADRA1A","DOID.225"
"NKX2-5","DOID.225"
"CTBP1","DOID.225"
"CTF1","DOID.225"
"IL23R","DOID.225"
"CTLA4","DOID.225"
"CTNNB1","DOID.225"
"ADRA2A","DOID.225"
"ADRA2B","DOID.225"
"ADRA2C","DOID.225"
"CNTN4","DOID.225"
"CX3CR1","DOID.225"
"ADRB1","DOID.225"
"CYBB","DOID.225"
"ADRB2","DOID.225"
"CYLD","DOID.225"
"CYP1A1","DOID.225"
"CYP1A2","DOID.225"
"CYP1B1","DOID.225"
"ADRB3","DOID.225"
"CYP3A7","DOID.225"
"CYP2C19","DOID.225"
"CYP2C9","DOID.225"
"CYP2D6","DOID.225"
"CYP2J2","DOID.225"
"ESCO2","DOID.225"
"CYP3A4","DOID.225"
"VPS13B","DOID.225"
"CYP3A5","DOID.225"
"CYP11A1","DOID.225"
"FREM1","DOID.225"
"CYP11B1","DOID.225"
"CYP11B2","DOID.225"
"CYP17A1","DOID.225"
"CYP19A1","DOID.225"
"CYP21A2","DOID.225"
"CYP26A1","DOID.225"
"DAPK1","DOID.225"
"DAXX","DOID.225"
"DAZ1","DOID.225"
"SPRED1","DOID.225"
"DBH","DOID.225"
"DBN1","DOID.225"
"DBT","DOID.225"
"DCN","DOID.225"
"ACE","DOID.225"
"DCTN1","DOID.225"
"DCX","DOID.225"
"DDIT3","DOID.225"
"DHX9","DOID.225"
"BBS12","DOID.225"
"DEFB4A","DOID.225"
"LCA5","DOID.225"
"TIMM8A","DOID.225"
"SLC30A8","DOID.225"
"ARX","DOID.225"
"HBFQTL4","DOID.225"
"DGUOK","DOID.225"
"DHCR7","DOID.225"
"DHODH","DOID.225"
"DIO1","DOID.225"
"DIO2","DOID.225"
"DKC1","DOID.225"
"AFP","DOID.225"
"DLX2","DOID.225"
"DLX3","DOID.225"
"DLX5","DOID.225"
"DMBT1","DOID.225"
"ACAN","DOID.225"
"AGER","DOID.225"
"DNASE1","DOID.225"
"DNMT3B","DOID.225"
"DPP4","DOID.225"
"DPYSL2","DOID.225"
"DPYSL3","DOID.225"
"DRD1","DOID.225"
"DRD2","DOID.225"
"JAG1","DOID.225"
"DSC1","DOID.225"
"DSCAM","DOID.225"
"RCAN1","DOID.225"
"DSG1","DOID.225"
"AGT","DOID.225"
"DSP","DOID.225"
"AGTR1","DOID.225"
"DYRK1A","DOID.225"
"AGTR2","DOID.225"
"TOR1A","DOID.225"
"EDA","DOID.225"
"ABCA1","DOID.225"
"EDN1","DOID.225"
"EDN3","DOID.225"
"EDNRA","DOID.225"
"EDNRB","DOID.225"
"NEWENTRY","DOID.225"
"KRT24","DOID.225"
"EFNB1","DOID.225"
"EGF","DOID.225"
"EGFR","DOID.225"
"EGR1","DOID.225"
"EGR2","DOID.225"
"AHR","DOID.225"
"ANO6","DOID.225"
"AHSG","DOID.225"
"UBR1","DOID.225"
"ZNF778","DOID.225"
"ELANE","DOID.225"
"ELAVL4","DOID.225"
"ELK1","DOID.225"
"ELN","DOID.225"
"SPRED2","DOID.225"
"EMD","DOID.225"
"FLCN","DOID.225"
"UNC13D","DOID.225"
"ENG","DOID.225"
"ENPEP","DOID.225"
"ENSA","DOID.225"
"EP300","DOID.225"
"EPHA4","DOID.225"
"EPO","DOID.225"
"EPOR","DOID.225"
"EPS15","DOID.225"
"ERBB3","DOID.225"
"ERCC1","DOID.225"
"ERCC2","DOID.225"
"AKT1","DOID.225"
"ERCC5","DOID.225"
"ERCC6","DOID.225"
"ERF","DOID.225"
"ERG","DOID.225"
"AKT2","DOID.225"
"ESR1","DOID.225"
"ABCA3","DOID.225"
"ESR2","DOID.225"
"ETS1","DOID.225"
"ETS2","DOID.225"
"ETV6","DOID.225"
"EVC","DOID.225"
"MECOM","DOID.225"
"ALB","DOID.225"
"EXT1","DOID.225"
"EYA1","DOID.225"
"F2","DOID.225"
"F2RL1","DOID.225"
"F3","DOID.225"
"F5","DOID.225"
"F7","DOID.225"
"F8","DOID.225"
"F9","DOID.225"
"F10","DOID.225"
"F11","DOID.225"
"F12","DOID.225"
"FAAH","DOID.225"
"FABP4","DOID.225"
"FABP2","DOID.225"
"ALDH2","DOID.225"
"FABP3","DOID.225"
"FABP7","DOID.225"
"FANCD2","DOID.225"
"ACSL1","DOID.225"
"ACSL4","DOID.225"
"FANCB","DOID.225"
"GSX1","DOID.225"
"FBN1","DOID.225"
"FBN2","DOID.225"
"FCER2","DOID.225"
"FCGR2A","DOID.225"
"FCGR3A","DOID.225"
"FKTN","DOID.225"
"FEN1","DOID.225"
"ALDH3A2","DOID.225"
"FGB","DOID.225"
"FGD1","DOID.225"
"FGF2","DOID.225"
"FGF3","DOID.225"
"FGF9","DOID.225"
"FGF10","DOID.225"
"FGFR1","DOID.225"
"FGFR3","DOID.225"
"GPC5","DOID.225"
"FGFR2","DOID.225"
"FH","DOID.225"
"FHIT","DOID.225"
"FHL1","DOID.225"
"ATF5","DOID.225"
"NTNG1","DOID.225"
"FOXG1","DOID.225"
"KLRK1","DOID.225"
"RAB3GAP1","DOID.225"
"RAB18","DOID.225"
"FOXF1","DOID.225"
"TRIM32","DOID.225"
"FOXC1","DOID.225"
"CEP152","DOID.225"
"FOXC2","DOID.225"
"PDS5B","DOID.225"
"FOXO1","DOID.225"
"ARHGAP26","DOID.225"
"DDN","DOID.225"
"SPART","DOID.225"
"PLXND1","DOID.225"
"FLI1","DOID.225"
"PHF8","DOID.225"
"FLNA","DOID.225"
"FLNB","DOID.225"
"GPD1L","DOID.225"
"LPIN1","DOID.225"
"CYFIP1","DOID.225"
"FLT1","DOID.225"
"FLT3","DOID.225"
"PLCB1","DOID.225"
"CLEC16A","DOID.225"
"SATB2","DOID.225"
"FMR1","DOID.225"
"RPGRIP1L","DOID.225"
"FN1","DOID.225"
"OBSL1","DOID.225"
"ARHGEF12","DOID.225"
"PIP5K1C","DOID.225"
"DICER1","DOID.225"
"ZFPM2","DOID.225"
"TARDBP","DOID.225"
"HARS2","DOID.225"
"HEY2","DOID.225"
"ZFYVE26","DOID.225"
"ARHGAP45","DOID.225"
"FOS","DOID.225"
"ATP6V0A2","DOID.225"
"LEMD3","DOID.225"
"CD2AP","DOID.225"
"BACE1","DOID.225"
"NPAP1","DOID.225"
"MTOR","DOID.225"
"FSHR","DOID.225"
"GAST","DOID.225"
"GABBR1","DOID.225"
"ANKK1","DOID.225"
"GABRA1","DOID.225"
"GABRA3","DOID.225"
"GABRA5","DOID.225"
"GABRB2","DOID.225"
"GABRG3","DOID.225"
"GAD1","DOID.225"
"GAD2","DOID.225"
"RAB3GAP2","DOID.225"
"ATXN10","DOID.225"
"KLK5","DOID.225"
"BACE2","DOID.225"
"NIPBL","DOID.225"
"WHRN","DOID.225"
"GALNS","DOID.225"
"MTHFD1L","DOID.225"
"GALNT3","DOID.225"
"ASPM","DOID.225"
"MDS2","DOID.225"
"SAMHD1","DOID.225"
"NSMF","DOID.225"
"SETBP1","DOID.225"
"CNTNAP2","DOID.225"
"DNM3","DOID.225"
"FGFR1OP2","DOID.225"
"NPHP4","DOID.225"
"PTPN22","DOID.225"
"GAS6","DOID.225"
"GATA1","DOID.225"
"GATA2","DOID.225"
"GATA3","DOID.225"
"VPS33B","DOID.225"
"FGF21","DOID.225"
"GCG","DOID.225"
"GCH1","DOID.225"
"GCK","DOID.225"
"GCKR","DOID.225"
"CNNM4","DOID.225"
"BSCL2","DOID.225"
"GDF9","DOID.225"
"GDI2","DOID.225"
"NPAS4","DOID.225"
"GFAP","DOID.225"
"GFI1","DOID.225"
"GGT1","DOID.225"
"AMH","DOID.225"
"GH1","DOID.225"
"GH2","DOID.225"
"AMHR2","DOID.225"
"GHR","DOID.225"
"GHSR","DOID.225"
"GIP","DOID.225"
"GIPR","DOID.225"
"GJA1","DOID.225"
"GJA8","DOID.225"
"MLH3","DOID.225"
"NOX1","DOID.225"
"GJB1","DOID.225"
"GJB2","DOID.225"
"ST6GALNAC4","DOID.225"
"DISC1","DOID.225"
"GPC3","DOID.225"
"BBS9","DOID.225"
"AMPH","DOID.225"
"BHLHE22","DOID.225"
"ANGPTL3","DOID.225"
"PRPF19","DOID.225"
"GLI3","DOID.225"
"GLUD1","DOID.225"
"GNAQ","DOID.225"
"GNAS","DOID.225"
"GNB3","DOID.225"
"GNRH1","DOID.225"
"GNRHR","DOID.225"
"GNS","DOID.225"
"GOT1","DOID.225"
"GOT2","DOID.225"
"GP1BA","DOID.225"
"GP1BB","DOID.225"
"GP9","DOID.225"
"GPC1","DOID.225"
"GPM6B","DOID.225"
"ANG","DOID.225"
"H19","DOID.225"
"CXCR3","DOID.225"
"KCNRG","DOID.225"
"ANGPT1","DOID.225"
